Name of location,Number of films in this location,latitude,longitude,Names of films
"Dortmund, North Rhine-Westphalia, Germany",1,51.51661000000007,7.458290000000034,Hikikomori - Leben durch die Linse
"Augustinerbastei, Vienna, Austria",1,48.204585690593525,16.367889865099645,Let Me Go
"La dune Dewulf France, Dunkerque, Nord, France",1,51.03705000000008,2.376790000000028,Dunkirk
"San Juan, Puerto Rico",1,18.466330000000028,-66.10473999999994,Indestructible. El alma de la salsa
"Inglewood, California, USA",1,33.96178000000003,-118.35673999999995,The Haircut
"Milwaukee, Wisconsin, USA",1,43.04200000000003,-87.90686999999997,The Us Festival 1982: The US Generation Documentary
"Upland, California, USA",1,34.09940000000006,-117.65100999999999,In the Studio: Bohemian Rhapsody - A Cover
"Cartagena Bay, Colombia",1,10.425050000000056,-75.53836999999999,Jaron Lewis: Forever
"Banff, Banff National Park, Alberta, Canada",1,51.17856000000006,-115.57081,Canadian Rockies by Rail
"Colorado Springs, Colorado, USA",1,38.833480000000066,-104.82180999999997,Scouting Camp: Next Olympic Hopeful
"Lyon, France",1,45.75939000000005,4.828980000000058,Madame Hyde
"Waco, Texas, USA",1,31.57182000000006,-97.14949999999999,Color Me You
"Phoenix, Arizona, USA",1,33.44825000000003,-112.07579999999996,Last Stop Phoenix
